/gallery/was-biko-killed_3612 @ Was Biko killed for this? | 18/12/2015 - 12:38
/gallery/woman-her-way-work-stikland-picture-masixole-feni_3201 @ A woman on her way to work in Stikland. Picture by Masixole Feni. | 12/08/2015 - 09:34
/gallery/patients-wait-their-turn-eerste-river-hospitalthey-arrived-7am-picture-was-taken-1245pm @  Patients wait their turn at Eerste River hospital.They arrived 7am. This picture was taken at 12:45pm. Photo by Yanga Maneli. | 06/08/2015 - 12:27
/gallery/outdoor-sparring_3162 @ Outdoor sparring | 28/07/2015 - 13:42
/gallery/going-work-morning-mist-mfuleni-picture-masixole-feni_3153 @  Going to work in the morning mist in Mfuleni. Picture by Masixole Feni. | 24/07/2015 - 11:38
/gallery/boy-plays-park-franschhoek-picture-masixole-feni_3146 @ A boy plays in a park in Franschhoek. Picture by Masixole Feni. | 22/07/2015 - 15:34
/gallery/boy-playing-ball_3098 @ Boy playing with ball | 07/07/2015 - 11:44
/gallery/walking-khayelitsha-station-misty-morning_3056 @ Walking to Khayelitsha station on a misty morning | 22/06/2015 - 15:13
/gallery/lineout-practice_3040 @ Lineout practice | 17/06/2015 - 12:33
/gallery/manenberg-residents-march-peace_3035 @ Manenberg residents march for peace | 15/06/2015 - 15:58
/gallery/right2know-campaigner-sizwe-manqele-shouts-amandla-outside-parliament-wednesday-photo-shadi @  Right2Know campaigner Sizwe Manqele shouts "Amandla!" outside parliament on Wednesday. Photo by Shadi Garman. | 11/06/2015 - 07:53
/gallery/students-demand-school-plan_2990 @ Students demand a school plan | 01/06/2015 - 11:20
/gallery/colourful-mfuleni-shack_2978 @ Colourful Mfuleni Shack | 27/05/2015 - 13:38
/gallery/horse-cart-and-man_2968 @ Horse, cart and man | 25/05/2015 - 10:50
/gallery/marimba-band-against-xenophobia_2953 @ Marimba band against xenophobia | 19/05/2015 - 14:43
/gallery/homeless-man-prays-front-church_2938 @ Homeless man prays in front of church | 14/05/2015 - 11:24
/gallery/budget-protest_2934 @ Budget protest | 13/05/2015 - 17:32
/gallery/scavenging-vegetarian-morsels_2921 @ Scavenging for vegetarian morsels | 11/05/2015 - 10:30
/gallery/samwu-protest-against-city-managers_2911 @ SAMWU protest against City managers | 06/05/2015 - 16:03
/gallery/zonnebloem-nest-senior-received-biggest-trophy-inter-school-quiz-organised-africa-unite @  Zonnebloem Nest Senior received the biggest trophy at an inter-school quiz organised by Africa Unite. Picture by Bernard Chiguvare | 04/05/2015 - 12:07
/gallery/grass-cutters-moving-bakkie-mowbray-picture-masixole-feni_2898 @  Grass cutters on a moving bakkie in Mowbray. Picture by Masixole Feni. | 30/04/2015 - 14:58
/gallery/goose-wanders-across-canal_2884 @ Goose wanders across canal | 29/04/2015 - 10:08
/gallery/march-against-xenophobia-cape-town-22-april-2015_2865 @ March against xenophobia in Cape Town - 22 April 2015 | 22/04/2015 - 16:31
/gallery/march-against-xenophobia-cape-town-22-april-2015_2864 @ March against xenophobia in Cape Town - 22 April 2015 | 22/04/2015 - 16:29
/gallery/christopher-kindo-has-died_2858 @ Christopher Kindo has died | 21/04/2015 - 13:57
/gallery/taxi-violence-cape-flats_2855 @ Taxi violence on Cape Flats | 21/04/2015 - 11:05
/gallery/pedestrian-bridge-nolungile-station-khayelitsha_2841 @ Pedestrian bridge at Nolungile Station, Khayelitsha | 15/04/2015 - 11:41
/gallery/pensioners-protest_2837 @ Pensioners protest | 14/04/2015 - 15:13
/gallery/cape-town-older-persons-games_2836 @ Cape Town Older Persons Games | 14/04/2015 - 13:05
/gallery/louis-botha-statue-defaced_2822 @ Louis Botha statue defaced | 09/04/2015 - 11:03
/gallery/violence-khayelitsha_2819 @ Violence in Khayelitsha | 08/04/2015 - 23:33
/gallery/keeping-warm-after-night-outside_2803 @ Keeping warm after a night outside | 02/04/2015 - 08:38
/gallery/open-streets-comes-langa_2794 @ Open Streets comes to Langa | 30/03/2015 - 11:36
/gallery/sipho-hotstix-mabuse-live-cape-town-jazz-festival_2790 @ Sipho Hotstix Mabuse live at the Cape Town Jazz Festival | 26/03/2015 - 10:35
/gallery/delft-police-station-r2k-community-activists-display-memorials-protesters-killed-police_2780 @  At Delft police station, R2K community activists display memorials to protesters killed by police. | 23/03/2015 - 11:33
/gallery/shacks-demolished-phola-park_2769 @ Shacks demolished in Phola Park | 18/03/2015 - 12:59
/gallery/zolani-dance-group_2748 @ Zolani Dance Group | 09/03/2015 - 15:55
/gallery/helicopter-drops-water-table-mountain-fire_2735 @ Helicopter drops water on Table Mountain fire | 05/03/2015 - 10:26
/gallery/fiery-landscape_2727 @ Fiery landscape | 02/03/2015 - 15:18
/content/we-want-hire-excellent-news-reporter @ We want to hire an excellent news reporter | 25/02/2015 - 14:21
/gallery/boy-looks-over-busasa-temporary-residential-area-near-mfuleni_2706 @  A boy looks over Busasa temporary residential area near Mfuleni. | 23/02/2015 - 09:52
/gallery/golden-arrow-bus-was-set-alight-mfuleni-wednesday-night-protest-over-housing-and-service @  Golden Arrow bus set alight | 19/02/2015 - 10:18
/gallery/xhosa-hip-hop-artists-skillz-and-slie_2683 @ Xhosa hip hop artists: 'Skillz' and 'Slie' | 17/02/2015 - 11:34
/gallery/sizimisele-technical-high-school-students-protest_2679 @ Sizimisele Technical High School students protest | 16/02/2015 - 10:46
/gallery/daneel-wildeman-does-high-jump_2665 @ Daneel Wildeman does the high jump | 11/02/2015 - 13:26
/gallery/equal-education-protest-outside-public-investment-corporation_2656 @  Equal Education protest outside Public Investment Corporation | 10/02/2015 - 13:46
/content/assault-home-affairs-and-other-stories @ Assault at Home Affairs, and other stories | 05/02/2015 - 12:24
/gallery/athletics-training_2644 @ Athletics training | 04/02/2015 - 14:37
/content/parents-start-school-tent-and-other-stories @ Parents start school in tent, and other stories. | 29/01/2015 - 11:33
/content/lwandles-forgotten-evictees-and-other-stories @ Lwandle's forgotten evictees, and other stories | 22/01/2015 - 12:17
/content/no-benefit-taxi-commuters-petrol-price-plunges-and-other-stories @  No benefit for taxi commuters as petrol price plunges, and other stories | 15/01/2015 - 11:52
/gallery/mfuleni-children-enjoy-last-weeks-school-holidays_2584 @ Mfuleni children enjoy the last weeks of school holidays | 09/01/2015 - 12:06
/gallery/oliver-mtukudzi_2555 @ Oliver Mtukudzi | 15/12/2014 - 10:37
/content/life-saving-aids-medicine-out-stock-gauteng-and-other-stories @  Life-saving AIDS medicine out of stock in Gauteng, and other stories | 11/12/2014 - 10:39
/content/house-after-waiting-13-years-and-other-stories @ A house after waiting 13 years, and other stories | 04/12/2014 - 10:18
/content/support-groundup @ Support GroundUp | 01/12/2014 - 16:18
/content/one-rand-hour-not-enough-says-domestic-workers%E2%80%99-union-and-other-stories @  One rand an hour is not enough, says domestic workersâ€™ union, and other stories | 27/11/2014 - 12:00
/content/massive-implications-cosatu-crisis-and-other-stories @ Massive implications of Cosatu crisis and other stories | 20/11/2014 - 12:19
/content/it-takes-worker-100-years-earn-what-director-earns-one-year-and-other-stories @  It takes a worker 100 years to earn what a director earns in one year, and other stories | 13/11/2014 - 12:56
/content/marikana-how-police-constructed-their-story-and-other-stories @  Marikana: how the police "constructed" their story and other stories | 06/11/2014 - 12:28
/content/long-trek-education-city-students-and-other-stories @ Long Trek to Education for City Students and other stories | 30/10/2014 - 12:23
/gallery/view-lion%E2%80%99s-head-12-apostles-clouds-covering-camps-bay_2390 @  View from Lionâ€™s Head of the 12 Apostles with clouds covering Camps Bay | 27/10/2014 - 15:51
/content/inequality-debate-0 @ The inequality debate | 26/10/2014 - 09:31
/content/ebola-epidemiologist-front-line @ Ebola: An epidemiologist at the front line | 26/10/2014 - 09:19
/content/police%E2%80%99s-firearms-registry-contract-probed-hawks-and-other-stories @  Policeâ€™s Firearms Registry contract probed by Hawks and other stories | 23/10/2014 - 12:42
/content/how-i-crossed-border-illegally-and-other-stories @ How I crossed the border illegally and other stories | 16/10/2014 - 09:26
/gallery/asemahle-ntozini-4-quiet-streets-lwandle-photo-masixole-feni_2347 @  Asemahle Ntozini, 4, in the quiet streets of Lwandle. Photo by Masixole Feni. | 13/10/2014 - 16:07
/content/dressing-%E2%80%9Csexy%E2%80%9D-get-lift-school-and-other-stories @  Dressing â€œsexyâ€ to get a lift to school and other stories | 09/10/2014 - 12:39
/gallery/man-passes-fruit-stall-khayelitsha-station-business-hub-photo-masixole-feni_2335 @  A man passes a fruit stall in Khayelitsha Station business hub. Photo by Masixole Feni. | 09/10/2014 - 11:01
/gallery/behind-scenes-township-sanitation_2318 @ Behind the scenes of township sanitation | 03/10/2014 - 10:20
/content/khayelitsha-residents-welcome-sjc-social-audit-report-and-other-stories @  Khayelitsha residents welcome SJC social audit report and other stories | 02/10/2014 - 09:44
/gallery/children-dance-around-fire-started-during-protest-mfuleni-photo-masixole-feni_2307 @  Children dance around a fire started during a protest in Mfuleni. Photo by Masixole Feni. | 01/10/2014 - 10:56
/gallery/site-c-khayelitsha-barber-waits-his-shop-customers-photo-masixole-feni_2292 @  At Site C, Khayelitsha, a barber waits in his shop for customers. Photo by Masixole Feni. | 29/09/2014 - 09:51
/gallery/group-pensioners-eastern-cape-leave-parliament-after-they-drew-attention-their-case-they @  A group of pensioners from the Eastern Cape leave parliament after they drew attention to their case  | 26/09/2014 - 10:18
/content/secrecy-shrouds-blikkiesdorp-relocation-plans-and-other-stories @  Secrecy shrouds Blikkiesdorp relocation plans and other stories | 25/09/2014 - 14:37
/gallery/group-pensioners-eastern-cape-picketed-outside-parliament-draw-attention-their-case_2277 @  A group of pensioners from the Eastern Cape picketed outside parliament to draw attention to their case. | 25/09/2014 - 10:51
/gallery/baby-rhinos-ceres-game-reserve-picture-masixole-feni_2272 @  Baby rhinos at a Ceres game reserve. Picture by Masixole Feni. | 24/09/2014 - 08:49
/gallery/small-boy-runs-past-rubbish-piled-philippi-main-road-photo-masixole-feni_2263 @  A small boy runs past rubbish piled up on Philippi main road. Photo by Masixole Feni. | 22/09/2014 - 09:17
/gallery/view-across-roofs-siqalo-informal-settlement-photo-masixole-feni_2260 @  A view across the roofs of Siqalo informal settlement. Photo by Masixole Feni. | 19/09/2014 - 12:34
/content/state-criminalising-protest-and-dissent-and-other-stories @  State criminalising protest and dissent and other stories | 18/09/2014 - 13:45
/gallery/young-boy-doing-backflips-sunny-day-mfuleni-photo-masixole-feni_2255 @  A young boy doing backflips on a sunny day in Mfuleni. Photo by Masixole Feni. | 18/09/2014 - 08:19
/gallery/workers-return-home-sunset-farms-philippi_2250 @ Workers return home at sunset on farms in Philippi | 16/09/2014 - 15:22
/gallery/rastafarian-deer-park-cleanses-himself_2234 @ A Rastafarian at Deer Park cleanses himself | 12/09/2014 - 13:06
/content/city-cape-town-acquire-drones-and-other-stories @ City of Cape Town to acquire drones and other stories | 12/09/2014 - 11:28
/gallery/it-early-morning-and-woman-nyanga-east-after-collecting-cans-plastic-cardboard-and-bottles @  It is early morning, and a woman in Nyanga East after collecting cans, plastic , cardboard and bottles, is on her way home. When she has gathered enough, she will call the recycling company to collect. Photo by Masixole Feni. | 10/09/2014 - 11:40
/gallery/monday-seskhona-peoples-rights-movement-protested-cape-town-outside-high-court @  On Monday, Ses'Khona Peopleâ€™s Rights Movement protested in Cape Town outside the High Court against the City of Cape Town's bid for a court interdict to stop â€œillegalâ€ protests. Picture by Masixole Feni. | 08/09/2014 - 16:55
/content/crime-summit-khayelitsha-needed-and-other-stories @ Crime summit for Khayelitsha needed and other stories | 05/09/2014 - 10:16
/gallery/mowbray-station-schoolchildren-try-get-crowded-metrorail-train_2206 @  At Mowbray station, schoolchildren try to get into a crowded Metrorail train | 04/09/2014 - 16:18
/gallery/kids-enjoy-sunny-weather-after-rains-mew-way-bridge-site-c-khayelitsha-picture-masixole-feni @  Kids enjoy the sunny weather after the rains at Mew Way Bridge, Site C, Khayelitsha. Picture by Masixole Feni. | 03/09/2014 - 07:58
/gallery/buses-torched-landsdowne-road-monday-1-september-2014_2187 @  Buses torched in Lansdowne Road on Monday, 1 September 2014 | 01/09/2014 - 13:06
/content/commission-finds-%E2%80%9Cserious-inefficiencies%E2%80%9D-khayelitsha-policing-and-other-stories @  Commission finds â€œserious inefficienciesâ€ in Khayelitsha policing and other stories | 29/08/2014 - 09:22
/gallery/one-amagqirha-diviners-emerges-after-night-intlombe-ceremony-rejoicing-ancestors-mfuleni @  One of the amagqirha (diviners) emerges after a night of the intlombe ceremony rejoicing with the ancestors in Mfuleni Extension 6 | 27/08/2014 - 14:04
/gallery/battle-rolihlahla-park_2156 @ The battle for Rolihlahla Park | 25/08/2014 - 12:22
/content/women-who-beat-odds-and-other-stories @ Women who beat the odds and other stories | 22/08/2014 - 14:51
/gallery/train-commuters-walking-past-discarded-toilet_2141 @ Train commuters walking past a discarded toilet | 21/08/2014 - 11:34
/gallery/marikana-widows-deliver-over-3000-signatures-sabc-and-etv-demanding-they-broadcast-film @  Marikana widows deliver over 3000 signatures to SABC and eTV, demanding that they broadcast the film Miners Shot Down | 19/08/2014 - 10:44
/gallery/2nd-anniversary-%E2%80%9Cmarikana%E2%80%9D-massacre-lonmin_2123 @  2nd anniversary of the â€œMarikanaâ€ massacre at Lonmin | 18/08/2014 - 09:22
/content/ugly-reality-eviction-and-other-stories @ The ugly reality of eviction and other stories | 15/08/2014 - 13:06
/gallery/standoff-philippi_2114 @ Standoff in Philippi | 14/08/2014 - 10:48
/gallery/commemorating-marikana_2099 @ Commemorating Marikana | 11/08/2014 - 09:46
/gallery/man-who-lives-permanently-outdoors-finds-place-shower_2091 @  A man who lives permanently outdoors finds a place to shower | 08/08/2014 - 12:42
/content/someone-has-stop-sanral-and-other-stories @ Someone has to stop SANRAL and other stories | 08/08/2014 - 11:42
/gallery/reflections-after-rain-mfuleni-burundi-informal-settlement-photo-masixole-feni_2086 @  Reflections after the rain in Mfuleni Burundi informal settlement. Photo by Masixole Feni. | 07/08/2014 - 14:55
/gallery/anele-dayosi-strand-soccer-practice-first-weekend-august_2077 @  Anele Dayosi of Strand at soccer practice on the first weekend of August | 06/08/2014 - 13:55
/gallery/wheelchair-tennis-player-mayenzeke-gwija-training-khayelitsha_2071 @  Wheelchair tennis player Mayenzeke Gwija training in Khayelitsha | 05/08/2014 - 14:41
/content/inequality-debate @ Inequality: What causes it and what can we do about it? | 02/08/2014 - 14:19
/content/evicted-resident-breaks-down-lwandle-inquiry-and-other-stories @  Evicted resident breaks down at Lwandle inquiry and other stories | 01/08/2014 - 11:02
/gallery/redhill-ruins_2049 @ The Redhill ruins | 30/07/2014 - 09:50
/content/how-ellerines-and-african-bank-misled-customer-debt-and-other-stories @  How Ellerines and African Bank misled a customer into debt and other stories | 25/07/2014 - 13:19
/gallery/birds-over-bo-kaap-sunny-winters-day_2024 @ Birds over Bo-Kaap on a sunny winter's day | 21/07/2014 - 16:11
/content/cape-town%E2%80%99s-chemical-toilets-violate-human-rights-and-other-stories @  Cape Townâ€™s chemical toilets violate human rights and other stories | 18/07/2014 - 13:19
/gallery/protest-outside-seriti-commission_2014 @ Protest outside the Seriti Commission | 18/07/2014 - 11:33
/gallery/mandela-day_2010 @ Mandela Day | 17/07/2014 - 15:42
/gallery/uct-students-demonstrate-solidarity-people-gaza_1993 @ UCT students demonstrate in solidarity with the people of Gaza | 14/07/2014 - 17:54
/content/who-andile-lili-and-other-stories @ Who is Andile Lili? and other stories | 11/07/2014 - 13:39
/gallery/langa-residents-protested-week-slow-rate-housing-delivery-photo-armand-hough_1986 @  Langa residents protested this week at the slow rate of housing delivery. Photo by Armand Hough. | 11/07/2014 - 10:56
/gallery/community-health-workers-detained_1983 @ Community health workers detained | 10/07/2014 - 14:23
/gallery/lwandle-strand-photo-masixole-feni_1976 @ Lwandle Strand. Photo by Masixole Feni. | 09/07/2014 - 14:44
/gallery/bonga-sobekwa-plays-morabaraba-buhle-mbunjana-photo-siyabonga-kalipa_1968 @  Bonga Sobekwa plays Morabaraba with Buhle Mbunjana. Photo by Siyabonga Kalipa. | 08/07/2014 - 15:51
/content/weekly-newsletter-30-june-07-july-2014-what-needs-be-done-about-metrorail-and-other-stories @  Weekly newsletter 30 June - 07 July 2014: What needs to be done about metrorail and other stories | 07/07/2014 - 15:11
/gallery/electricity-protest-macassar_1965 @ Electricity protest in Macassar | 07/07/2014 - 15:09
/gallery/aftermath-housing-protest_1964 @ Aftermath of housing protest | 07/07/2014 - 15:00
/gallery/initiation-school-khayelitsha_1963 @ Initiation school in Khayelitsha | 07/07/2014 - 13:28
/content/test-source @ Test source | 04/07/2014 - 00:39
/gallery/metal-workers-demand-higher-wages_1948 @ Metal workers demand higher wages | 01/07/2014 - 18:26
/content/weekly-newsletter-23-27-june-2014-who-won-platinum-strike-black-consciousnes-land-evictions @  Weekly newsletter 23 - 27 June 2014: Who won the platinum strike, black consciousnes, land evictions, gay refugees and other stories | 27/06/2014 - 13:06
/gallery/plight-informal-street-traders_1935 @ The plight of informal street traders | 27/06/2014 - 09:49
/gallery/activists-put-mainstream-media-under-spotlight_1932 @ Activists put mainstream media under the spotlight | 26/06/2014 - 12:56
/gallery/athlone-players-need-funds-reach-baseball-world-cup_1922 @  Athlone players need funds to reach Baseball World Cup | 24/06/2014 - 15:23
/gallery/farmworkers-labour-court_1912 @ Farmworkers in Labour Court | 23/06/2014 - 12:39
/content/weekly-newsletter-16-20-june-2014-protests-state-nation-address-and-other-stories @  Weekly newsletter 16 - 20 June 2014: Protests at State of the Nation address and other stories | 20/06/2014 - 12:46
/gallery/state-nation-protests_1901 @ State of the Nation Protests | 19/06/2014 - 14:30
/content/weekly-newsletter-09-13-june-2014-unanswered-questions-about-strand-evictions-and-other @  Weekly newsletter 09 - 13 June 2014: Unanswered questions about Strand evictions and other stories | 13/06/2014 - 13:22
/gallery/canoeing-comes-khayelitsha_1877 @ Canoeing comes to Khayelitsha | 12/06/2014 - 10:19
/content/weekly-newsletter-02-06-june-2014-lwandle-community-homes-demolished-and-other-stories @  Weekly newsletter 02 - 06 June 2014: Lwandle community homes demolished and other stories | 06/06/2014 - 14:04
/gallery/informal-settlement-squalo-vanguard-drive-was-flooded-weeks-cape-town-storms_1858 @  Informal settlement of Squalo on Vanguard Drive was flooded in this week's Cape Town storms. | 05/06/2014 - 14:35
/gallery/casspir_1849 @ Casspir | 03/06/2014 - 23:55
/content/weekly-newsletter-26-30-may-2014-youth-gangs-and-violence-khayelitsha-and-other-stories @  Weekly newsletter 26 - 30 May 2014: Youth gangs and violence in Khayelitsha and other stories | 30/05/2014 - 11:59
/content/weekly-newsletter-19-23-may-2014-social-grants-being-illegally-deducted-reaching-recipients @  Weekly newsletter 19 - 23 May 2014: Social grants being illegally deducted before reaching recipients and other stories | 23/05/2014 - 12:58
/content/weekly-newsletter-12-16-may-2014-questions-and-answers-about-being-tried-murder-sa-and-other @  Weekly newsletter 12-16 May 2014: Questions and answers about being tried for murder in SA and other stories | 16/05/2014 - 11:39
/content/weekly-newsletter-05-09-may-2014-police-clash-high-school-students-cape-town-and-other @  Weekly newsletter 05 - 09 May 2014: Police clash with high-school students in Cape Town and other stories | 09/05/2014 - 13:14
/content/groundup-newsletter-29-april-02-may-2014-porta-potties-hit-bishopscourt-and-other-stories @  GroundUp Newsletter 29 April - 02 May 2014: Porta potties hit Bishopscourt and other stories | 01/05/2014 - 11:30
/content/groundup-newsletter-25-april-2014-why-zackie-achmat-wont-vote-anc-and-other-stories @  GroundUp Newsletter 25 April 2014: Why Zackie Achmat won't vote ANC and other stories | 25/04/2014 - 12:43
/gallery/say-no-secrecy-bill_1721 @ Say no to the secrecy bill | 22/04/2014 - 11:55
/content/groundup-newsletter-17-april-2014-enkanini%E2%80%99s-%E2%80%9Cfield-death%E2%80%9D-and-other-stories @  GroundUp Newsletter 17 April 2014: Enkaniniâ€™s â€œfield of deathâ€ and other stories | 17/04/2014 - 12:57
/gallery/methodist-church-green-market-square-takes-stand-against-homophobia-photo-adam-armstrong @  The Methodist church on Green market square takes a stand against homophobia. Photo by Adam Armstrong. | 16/04/2014 - 15:56
/content/groundup-newsletter-11-april-2014-can-seriti-commission-arms-deal-succeed-and-other-stories @  GroundUp Newsletter 11 April 2014: Can the Seriti Commission into Arms Deal succeed and other stories | 11/04/2014 - 13:15
/content/groundup-newsletter-04-april-2014-who-killed-moses-tshake-and-other-stories @  GroundUp Newsletter 04 April 2014: Who Killed Moses Tshake and other stories | 04/04/2014 - 11:05
/content/groundup-newsletter-28-march-2014-metrorail-promises-r233-million-upgrade-its-services-and @  GroundUp Newsletter 28 March 2014: Metrorail promises R233 million to upgrade its services and other stories | 28/03/2014 - 12:57
/content/groundup-newsletter-20-march-2014-why-president-zuma-must-go-and-other-stories @  GroundUp Newsletter 20 March 2014: Why President Zuma must go and other stories | 20/03/2014 - 13:57
/content/groundup-newsletter-14-march-2014-former-gang-member-calls-army-pacify-cape-flats-%E2%80%9Ccivil-war @  GroundUp Newsletter 14 March 2014: Former gang member calls for the army to pacify the Cape Flats â€œcivil warâ€ and other stories | 14/03/2014 - 12:38
/gallery/support-palestinian-rights-part-israeli-apartheid-week_1595 @  Support for Palestinian rights as part of Israeli Apartheid Week | 13/03/2014 - 14:34
/content/newsletter @ Newsletter | 11/03/2014 - 15:04
/content/groundup-newsletter-07-march-2014-boxing-saved-my-life-and-other-stories @  GroundUp Newsletter 07 March 2014: Boxing saved my life and other stories | 07/03/2014 - 09:35
/gallery/sex-workers-wearing-festival-masks-march-their-rights-cape-town_1568 @  Sex workers wearing festival masks march for their rights in Cape Town | 05/03/2014 - 12:21
/content/groundup-newsletter-28-february-2014-province-tries-run-illegal-trial-quack-medicine-and @  GroundUp Newsletter 28 February 2014: Province tries to run illegal trial with quack medicine and other stories | 28/02/2014 - 12:14
/gallery/image-film-ndiyindoda-mayenzeke-baza-courtesy-sonke-gender-justice_1546 @  Image from the film 'Ndiyindoda' by Mayenzeke Baza, courtesy of Sonke Gender Justice. | 26/02/2014 - 13:35
/content/groundup-newsletter-21-february-2014-how-i-was-nearly-conned-and-other-stories @  GroundUp Newsletter 21 February 2014: How I was nearly conned and other stories | 21/02/2014 - 12:56
/gallery/immigrants-earn-living-selling-their-beadwork_1526 @ Immigrants earn a living by selling their beadwork | 19/02/2014 - 13:02
/content/groundup-newsletter-13-february-2014-red-tape-blocks-khayelitsha-small-businesses-and-other @  GroundUp Newsletter 13 February 2014: Red tape blocks Khayelitsha small businesses and other stories | 13/02/2014 - 19:55
/gallery/woman-listens-testimony-khayelitsha-commission-inquiry_1503 @  A woman listens to testimony at the Khayelitsha Commission of Inquiry. | 12/02/2014 - 10:06
/content/groundup-newsletter-07-february-2014-south-africa%E2%80%99s-water-wars-and-other-stories @  GroundUp Newsletter 07 February 2014: South Africaâ€™s water wars and other stories | 07/02/2014 - 13:09
/gallery/placard-demonstration-outside-meeting-innovative-pharmaceutical-association-south-africa @  Placard at demonstration outside a meeting of the Innovative Pharmaceutical Association of South Africa | 05/02/2014 - 18:40
/content/groundup-newsletter-31-january-2014-philippi-school-struggles-get-help-disabled-learners-and @  GroundUp Newsletter 31 January 2014: Philippi school struggles to get help for disabled learners and other stories | 31/01/2014 - 12:07
/subscribe @ Subscribe | 30/01/2014 - 14:53
/gallery/demonstration-support-khayelitsha-commission-inquiry_1465 @  Demonstration in support of the Khayelitsha Commission of Inquiry | 29/01/2014 - 10:12
/content/groundup-special-report-khayelitsha-commission-inquiry @ GroundUp: Special Report - Khayelitsha Commission of Inquiry | 24/01/2014 - 09:48
/content/ideal-absent-father-06-dec @ On the ideal absent father - 06 Dec | 06/12/2013 - 07:41
/content/groundup-13-19-november-published @ Groundup 13 - 19 November is published! | 14/11/2013 - 10:19
/content/groundup-6-12-november-published @ GroundUp 6 -12 November is published | 06/11/2013 - 12:39
/content/groundup-23-29-october-published @ GroundUp 23 - 29 October is published! | 24/10/2013 - 10:38
/content/groundup-16-22-october-published @ GroundUp 16 - 22 October is published! | 17/10/2013 - 11:55
/content/growing-food-cape-towns-homes @ Growing food in Cape Townâ€™s homes | 16/10/2013 - 12:05
/content/groundup-25-sept-1-oct-published @ GroundUp 25 Sept - 1 Oct is published! | 26/09/2013 - 13:59
/content/groundup-11-17-september-published @ GroundUp 11 - 17 September is published! | 12/09/2013 - 10:18
/content/groundup-04-10-sept-published @ GroundUp 04 - 10 Sept is published! | 05/09/2013 - 09:53
/content/groundup-15-21-august-published @ GroundUp 15 - 21 August is published! | 22/08/2013 - 10:23
/volunteer-groundup @ Volunteer for GroundUp | 02/08/2013 - 15:10
/content/schools-refuse-allow-14-year-old-finish-grade-2 @ Incorrect URL - 14-year-old can't find school to finish Grade 2 | 24/07/2013 - 13:57
/content/solal-technologies-actively-promotes-pseudoscience-and-here%27s-how @  Incorrect URL - Solal Technologies actively promotes pseudoscience ... and hereâ€™s how | 23/07/2013 - 16:27
